Textkey,-,string,string,string,string,string,string,string,string,string,string,string,string,_
MISSION_INTRO6,,"With the civil war over, Octavius looks to Hispania, where the Cantabrian and Asturian tribes have rebelled. To ensure his dominion, he needs to establish camps for his legions, so Rome orders you to prepare the arrival of the new troops with a camp that serves to monitor the movements of the enemies.","Terminada la guerra civil, Octavius mira hacia Hispania, donde se han rebelado las tribus de cántabros y astures. Para asegurar su dominio, necesita establecer campamentos para sus legiones, por eso Roma te ordena que prepares la llegada de las nuevas tropas con un campamento que sirva para vigilar los movimientos de los enemigos.",NOT_TRANSLATED,"По окончании гражданской войны Октавий обращает свой взор на Испанию, где восстали племена астуров и кантабров. Для закрепления своего господства ему необходимо разбить лагеря для легионов, поэтому Рим приказывает вам подготовиться к прибытию новых войск с помощью аванпоста, который послужит для наблюдения за передвижениями врагов.","Nach dem Ende des Bürgerkriegs blickt Octavius nach Hispanien, wo die kantabrischen und asturischen Stämme rebelliert haben. Um seine Herrschaft zu sichern, muss er Lager für seine Legionen errichten. Rom befiehlt dir also, die Ankunft der neuen Truppen mit einem Lager zu versehen, das dazu dient, die Bewegungen der Feinde zu überwachen.","La guerre civile terminée, Octavius se tourne vers l'Hispanie, où les tribus cantabriques et asturiennes se sont rebellées. Pour assurer sa domination, il doit établir des camps pour ses centuries. Rome vous ordonne donc de préparer l'arrivée des nouvelles troupes avec un camp qui servira à surveiller les mouvements des ennemis.",随着内战结束，屋大维将目光投向西班牙，当地的坎塔布里亚和阿斯图里亚斯部落已经反叛。为了确保统治，他需要为自己的军团建立营地。罗马命令你准备一座营地，以监视敌人的动向。,内戦が終わり、オクタウィウスはカンタブリアとアストゥリアの部族が反乱を起こしたイスパニアに目を向ける。支配権を確保するためには、彼は軍団のためのキャンプを設置する必要があり、ローマはあなたに、敵の動きを監視する役割を果たすキャンプで、新しい軍隊の到着に備えるよう命じる。,"Com a guerra civil terminada, Otávio volta-se para a Hispânia, onde as tribos cántabras e asturianas se rebelaram. Para garantir seu domínio, ele precisa estabelecer acampamentos para suas legiões, e Roma lhe ordena que prepare a chegada das novas tropas com um acampamento que sirva para monitorar os movimentos dos inimigos.",NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
MISSION_INTRO7,,"The senate of Rome appointed Octavius emperor in 27 BC. A year later, the emperor himself opened the gates of the temple of Janus as a symbol of the state of war. Now Augustus prepares to enter Hispania with his troops. But first, he needs an advance guard; the emperor asks you to establish his base of operations in Segisama so that it becomes the center of operations from which to put an end to the revolts of the northern peoples.","El senado de Roma nombró emperador a Octavius en el año 27 A.C. Un año más tarde, el emperador en persona abrió las puertas del templo de Jano como símbolo del estado de guerra. Ahora Augustus se prepara para entrar en Hispania junto a sus tropas. Pero antes, necesita una avanzadilla; el emperador te solicita que establezcas su base de operaciones en Segisama para que se convierta en el centro de operaciones desde el que acabar con las revueltas de los pueblos del norte.",NOT_TRANSLATED,"В 27 году до н. э. римский сенат назначает Октавия императором. Год спустя император сам открывает ворота храма Януса в знак начала войны. Теперь Август готовится вступить в Испанию со своими войсками. Но прежде ему нужен авангард; император просит вас основать базу в Сегисаме, чтобы она стала плацдармом операций по подавлению восстаний северных народов.","Der römische Senat ernannte Octavius im Jahr 27 v. Chr. zum Kaiser. Ein Jahr später öffnete der Kaiser selbst die Tore des Janustempels als Symbol des Kriegszustandes. Nun bereitet sich Augustus mit seinen Truppen auf den Einzug in Hispanien vor. Doch zunächst benötigt er eine Vorhut. Der Kaiser bittet dich, seine Einsatzbasis in Segisama einzurichten, damit von dort aus die Aufstände der nördlichen Völker unterdrückt werden können.","Le sénat de Rome nomme Octavius empereur en 27 avant Jésus-Christ. Un an plus tard, l'empereur ouvre lui-même les portes du temple de Janus, symbole de l'état de guerre. Augustus se prépare maintenant à entrer en Hispanie avec ses troupes. Mais il a d'abord besoin d'une avant-garde : l'empereur vous demande d'établir sa base d'opérations à Segisama afin qu'elle devienne le centre d'opérations à partir duquel il mettra fin aux révoltes des peuples du Nord.",公元前27年，罗马元老院任命屋大维为皇帝。一年后，皇帝亲自开启了雅努斯神庙的大门，打响了战争。现在，奥古斯都准备带领军队进入西班牙。首先需要一支先遣部队，皇帝命令你在塞吉萨马为他建立行动基地，使其成为结束北部叛乱的中心。,ローマの元老院は紀元前27年、オクタウィウスを皇帝に任命した。その1年後、皇帝自らが戦争状態の象徴としてヤヌス神殿の門を開いた。今、アウグストゥスは軍隊を率いてイスパニアに入城する準備を進めている。しかし、その前に先遣隊が必要である。皇帝はあなたに、セギサマに作戦基地を設置し、そこから北方民族の反乱に終止符を打つ作戦の中心となるよう要請している。,"O senado de Roma nomeou Otávio imperador em 27 a.C. Um ano depois, o próprio imperador abriu os portões do templo de Jano como símbolo do estado de guerra. Agora Augusto se prepara para entrar na Hispânia com suas tropas. Mas, primeiro, ele precisa de uma guarda avançada; o imperador lhe pede que estabeleça sua base de operações em Segisama para que se torne o centro das operações que colocarão fim às revoltas dos povos do norte.",NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
MISSION_INTRO8,,"The Cantabrian tribes have retreated before the passage of the Roman legions and have prepared to resist in a fortified camp at the top of a mountain range. Emperor Caesar Augustus knows that victory is within his reach, and orders you to build a settlement nearby, at the foot of the mountains, from which to contain the enemies until reinforcements arrive by sea from Aquitaine.","Las tribus cántabras se han replegado ante el paso de las legiones romanas y se han preparado para resistir en un campamento fortificado en lo alto de una cordillera. El emperador Caesar Augustus sabe que la victoria se encuentra a su alcance, y te ordena construir un asentamiento cercano, a los pies de las montañas, desde el que contener a los enemigos hasta que lleguen por mar los refuerzos venidos de Aquitania.",NOT_TRANSLATED,"Племена Кантабрии отступают перед наступлением римских легионов и готовятся к сопротивлению в укреплённом лагере на вершине горного хребта. Император Цезарь Август знает, что победа уже близка, и приказывает вам построить поселение неподалеку, у подножия гор, чтобы сдерживать врагов до тех пор, пока морем из Аквитании не прибудет подкрепление.","Die kantabrischen Stämme haben sich vor dem Durchmarsch der römischen Legionen zurückgezogen und sich in einem befestigten Lager auf dem Gipfel eines Gebirgszuges auf den Widerstand vorbereitet. Kaiser Caesar Augustus weiß, dass der Sieg zum Greifen nahe ist, und befiehlt dir, in der Nähe, am Fuße der Berge, eine Siedlung zu errichten, von der aus die Feinde in Schach gehalten werden sollen, bis Verstärkung auf dem Seeweg aus Aquitanien eintrifft.","Les tribus cantabriques ont battu en retraite devant le passage des centuries romaines et se sont préparées à résister dans un camp fortifié au sommet d'une chaîne de montagnes. L'empereur César Auguste sait que la victoire est à sa portée et vous ordonne de construire une colonie à proximité, au pied des montagnes, d'où vous pourrez contenir les ennemis jusqu'à ce que des renforts arrivent par la mer depuis l'Aquitaine.",坎塔布里亚部落在罗马军团的推进下撤退，并准备在山脉顶部的一座堡垒中继续抵抗。奥古斯都皇帝知道胜利在望，命令你在山脚下建立定居点，以遏制敌人，直到来自阿基坦的增援部队通过海路到达。,カンタブリア諸部族はローマ軍団の通過を前に退却し、山脈の頂上にある要塞化されたキャンプで抵抗の準備を整えている。皇帝カエサル・アウグストゥスは、勝利が手の届くところにあることを知り、あなたに、アキテーヌ地方から海路で援軍が到着するまでの間、敵を封じ込めるための集落を、山麓の近くに築くよう命じる。,"As tribos cántabras recuaram diante da passagem das legiões romanas e se prepararam para resistir em um acampamento fortificado no topo de uma cordilheira. O imperador César Augusto sabe que a vitória está ao seu alcance e ordena que você construa um assentamento próximo, ao pé das montanhas, de onde possa conter os inimigos até que os reforços cheguem por mar da Aquitânia.",NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
MISSION_INTRO9,,"Caesar Augustus returned to Rome in 24 B.C. and ended the campaign in Hispania. A year later, when he is ill, he is informed of a conspiracy that tries to end his mandate. Augustus places his trust in you, and orders you to establish a settlement next to Rome that will serve to eliminate the last traces of the rebellion.","Caesar Augustus regresó a Roma en el 24 A.C. y dió por finalizada la campaña en Hispania, Un año más tarde, cuando atraviesa una enfermedad, es informado de una conspiración que trata de acabar con su mandato. Augustus deposita su confianza en ti, y te ordena que establezcas un asentamiento junto a Roma que sirva para eliminar las últimas trazas de la rebelión.",NOT_TRANSLATED,"Цезарь Август возвращается в Рим в 24 году до н. э. и завершает кампанию в Испании. Год спустя, когда он болен, ему сообщают о заговоре, цель которого — лишить его полномочий. Август доверяет вам и приказывает основать рядом с Римом поселение, которое послужит уничтожению последних следов восстания.","Caesar Augustus kehrte 24 v. Chr. nach Rom zurück und beendete den Feldzug in Hispanien. Ein Jahr später, als er erkrankt, erfährt er von einer Verschwörung, die sein Mandat beenden soll. Augustus schenkt dir sein Vertrauen und beauftragt dich, in der Nähe von Rom eine Siedlung zu errichten, um die letzten Spuren der Rebellion zu verwischen.","Caesar Augustus rentre à Rome en 24 av. J.-C. et termine la campagne d'Hispanie. Un an plus tard, alors qu'il est malade, il est informé d'une conspiration qui tente de mettre fin à son mandat. Augustus vous fait confiance et vous ordonne d'établir une colonie près de Rome qui servira à éliminer les dernières traces de la rébellion.",奥古斯都在公元前24年回到罗马并结束了在西班牙的战役。一年后他病重时，被告知有人图谋结束他的统治。奥古斯都十分信任你，命令你在罗马附近建立一处定居点，以消除最后的叛乱迹象。,カエサル・アウグストゥスは紀元前24年にローマに戻り、イスパニアでの作戦を終えた。その1年後、病床にあったアウグストゥスは、自身の統治権を終わらせようとする陰謀の報せを受ける。アウグストゥスはあなたを信頼し、反乱の痕跡を完全に消すため、ローマの隣に集落を築くよう命じる。,"César Augusto retornou a Roma em 24 a.C. e encerrou a campanha na Hispânia. Um ano depois, enquanto está doente, é informado de uma conspiração que tenta encerrar seu mandato. Augusto confia em você e ordena que estabeleça um assentamento próximo a Roma, que servirá para eliminar os últimos traços da rebelião.",NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
MISSION_DATE0,,Perusia 40 BC.,Perusia 40 AC.,NOT_TRANSLATED,"Перузия, 40 до н. э.",Perusia 40 v. Chr.,Pérouse 40 av. J.-C.,公元前40年，佩鲁贾,ペルシア 紀元前40年,Perusia 40 AC.,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
MISSION_DATE1,,Ad Speluncas 40 BC.,Ad Speluncas 40 AC.,NOT_TRANSLATED,"Ад-Спелункас, 40 до н. э.",Ad Speluncas 40 v. Chr.,Ad Speluncas 40 av. J.-C.,公元前40年，艾德斯佩伦卡斯,アド・スペルンカス 紀元前40年,Ad Speluncas 40 AC.,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
MISSION_DATE2,,Rhegium 36 BC.,Rhegium 36 AC.,NOT_TRANSLATED,"Регий, 36 до н. э.",Rhegium 36 v. Chr.,Rhegium 36 av. J.-C.,公元前36年，利基翁,レギウム 紀元前36年,Rhegium 36 AC.,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
MISSION_DATE3,,"Antiphrai, 34 BC.","Antiphrai, 34 AC.",NOT_TRANSLATED,"Антифр, 34 до н. э.",Antiphrai 34 v. Chr.,"Antiphrai, 34 av. J.-C.",公元前34年，安提弗雷,アンティフライ 紀元前34年,"Antiphrai, 34 AC.",NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
MISSION_DATE4,,"Cyrene, 31 BC.","Cyrene, 31 AC.",NOT_TRANSLATED,"Кирена, 31 до н. э.",Kyrene 31 v. Chr.,"Cyrene, 31 av. J.-C.",公元前31年，昔兰尼,キュレネ 紀元前31年,"Cyrene, 31 AC.",NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
MISSION_DATE5,,"Alexandria, 30 BC.","Alexandria, 30 AC.",NOT_TRANSLATED,"Александрия, 30 до н. э.",Alexandria 30 v. Chr.,"Alexandrie, 30 av. J.-C.",公元前30年，亚历山大,アレクサンドリア 紀元前30年,"Alexandria, 30 AC.",NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
MISSION_DATE6,,Asturica 29 BC.,Asturica 29 AC.,NOT_TRANSLATED,"Астурика, 29 до н. э.",Asturica 29 v. Chr.,Asturica 29 av. J.-C.,公元前29年，阿斯图里加,アストゥリカ 紀元前29年,Asturica 29 AC.,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
MISSION_DATE7,,Segisama 26 BC.,Segisama 26 AC.,NOT_TRANSLATED,"Сегисама, 26 до н. э.",Segisama 26 v. Chr,Segisama 26 av. J.-C.,公元前26年，塞吉萨马,セギサマ 紀元前26年,Segisama 26 AC.,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
MISSION_DATE8,,Aracillum 25 BC.,Aracillum 25 AC.,NOT_TRANSLATED,"Арациллум, 25 до н. э.",Aracillum 25 v. Chr,Aracillum 25 av. J.-C.,公元前25年，阿拉西勒姆,アラキラム 紀元前25年,Aracillum 25 AC.,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
MISSION_DATE9,,Roma 23 BC.,Roma 23 AC.,NOT_TRANSLATED,"Рим, 23 до н. э.",Rom 23 v. Chr.,Rome 23 av. J.-C.,公元前23年，罗马,ローマ 紀元前23年,Roma 23 AC.,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE0,,Camera controls,Controles de la cámara,NOT_TRANSLATED,Управление камерой,Kamerasteuerung,Contrôles caméra,视角控制,カメラコントロール,Controles da câmera,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE1,,Forum,Foro,NOT_TRANSLATED,Форум,Forum,Forum,广场,フォーラム,Fórum,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE2,,Houses for plebeians,Viviendas para plebeyos,NOT_TRANSLATED,Жилища плебеев,Häuser für Plebejer,Maisons pour plébéiens,平民住房,平民用住宅,Casas para plebeus,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE3,,Fires and maintenance,Incendios y Mantenimiento,NOT_TRANSLATED,Пожары и обслуживание,Brände und Wartung,Incendies et maintenance,火灾与维护,火災とメンテナンス,Incêndios e manutenção,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE4,,Work management,Gestión del trabajo,NOT_TRANSLATED,Управление рабочей силой,Arbeitsverwaltung,Gestion du travail,工作管理,労働管理,Gestão de trabalho,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE5,,Water,Agua,NOT_TRANSLATED,Водоснабжение,Wasser,Eau,水源,水,Água,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE6,,Resource extraction,Extracción de recursos,NOT_TRANSLATED,Добыча ресурсов,Ressourcenabbau,Extraction de ressource,资源开采,リソース採掘,Extração de recursos,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE7,,Crops and farms,Cultivos y granjas,NOT_TRANSLATED,Плантации и фермы,Pflanzenbau und Landwirtschaft,Cultures et fermes,作物和农场,農作物と農場,Lavouras e fazendas,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE8,,Prestige and progress,Prestigio y progreso,NOT_TRANSLATED,Престиж и прогресс,Ansehen und Fortschritt,Prestige et progrès,声望与进度,名声と進捗状況,Prestígio e progresso,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE9,,Map exploration,Exploración del mapa,NOT_TRANSLATED,Исследование карты,Kartenerkundung,Exploration de la carte,地图探索,地図探索,Exploração do mapa,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE10,,Trade routes,Rutas comerciales,NOT_TRANSLATED,Торговые пути,Handelsrouten,Routes commerciales,贸易路线,交易路,Rotas comerciais,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE11,,Resource refinement,Refinamiento de recursos,NOT_TRANSLATED,Переработка ресурсов,Verfeinerung der Ressourcen,Transformation de ressources,资源精炼,リソースの精製,Refinamento de recursos,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE12,,Patricians and taxes,Patricios e Impuestos,NOT_TRANSLATED,Патриции и подати,Patrizier und Steuern,Patriciens et impôts,贵族与税收,貴族と税金,Patrícios e impostos,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE13,,Health and entertainment,Salud y entretenimiento,NOT_TRANSLATED,Здоровье и развлечения,Gesundheit und Unterhaltung,Santé et divertissement,健康与娱乐,健康と娯楽,Saúde e entretenimento,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE14,,Upgrade housing,Mejorar las viviendas,NOT_TRANSLATED,Улучшение жилищ,Unterkunft aufwerten,Améliorer le logement,升级住宅,住宅のアップグレード,Melhorar moradias,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE15,,Religion,Religión,NOT_TRANSLATED,Религия,Religion,Religion,宗教,宗教,Religião,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE16,,Start battle,Iniciar Combate,NOT_TRANSLATED,Начало битвы,Schlacht beginnen,Commencer la bataille,开始战斗,戦闘開始,Iniciar batalha,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE17,,Battle formation,Formación de Combate,NOT_TRANSLATED,Боевое построение,Schlachtaufstellung,Formation de bataille,战斗队形,戦闘隊形,Formação de batalha,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE18,,Unemployment and conflicts,Desempleo y conflictividad,NOT_TRANSLATED,Безработица и конфликты,Arbeitslosigkeit und Konflikte,Chômage et conflits,失业与冲突,失業と紛争,Desemprego e conflitos,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE19,,Weapons,Equipamiento,NOT_TRANSLATED,Вооружение,Waffen,Armes,武器,武器,Armas,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE20,,Training,Entrenamiento,NOT_TRANSLATED,Обучение,Ausbildung,Formation,训练,訓練,Treinamento,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE21,,Deploy troops on the map of the region,Desplegar tropas en el mapa de la región,NOT_TRANSLATED,Выставление войск на карте региона,Truppen auf der Karte der Region aufstellen,Déployer des troupes sur la carte de la région,在区域地图上部署军队,地域のマップ上に軍隊を展開する,Enviar tropas no mapa da região,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE22,,Relics and sacrifices,Reliquias y sacrificios,NOT_TRANSLATED,Реликвии и жертвоприношения,Reliquien und Opfer,Reliques et sacrifices,文物与祭品,遺物と生け贄,Relíquias e sacrifícios,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE23,,Festivals and events,Festivales y eventos,NOT_TRANSLATED,Празднества и события,Feste und Ereignisse,Festivals et événements,节日与活动,フェスティバルとイベント,Festivais e eventos,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE24,,Defenses,Defensas,NOT_TRANSLATED,Оборона,Verteidigungen,Défenses,防御,防衛,Defesas,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE25,,State of the city,Estado de la ciudad,NOT_TRANSLATED,Состояние города,Zustand der Stadt,État de la ville,城市状态,都市の状況,Estado da cidade,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE26,,Market,Mercado,,Рынок,Markt,Marché,市场,市場,Mercado,,,,
TUTORIAL_TITLE27,,Gods,Dioses,NOT_TRANSLATED,Боги,Götter,Dieux,神灵,神々,Deuses,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE28,,Gods' blessings and punishments,Bendiciones y castigos de los dioses,NOT_TRANSLATED,Дары и гнев богов,Segnungen und Bestrafungen der Götter,Bénédictions et punitions des dieux,神灵的祝福与惩罚,神々の祝福と懲罰,Bênçãos e punições dos deuses,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE29,,Enemy attacks on the city,Ataques enemigos a la ciudad,NOT_TRANSLATED,Вражеские атаки на город,Feindliche Angriffe auf die Stadt,Attaques ennemies sur la ville,敌人攻城,都市への敵の攻撃,Ataques inimigos à cidade,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_TITLE30,,Combat,Combate,NOT_TRANSLATED,Сражение,Kämpfen,Combattre,战斗,戦い,Combate,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
DONT_SHOW_TUTORIALS,,Don't show more tutorials,No mostrar más tutoriales,NOT_TRANSLATED,Больше не показывать руководства,Keine weiteren Tutorials anzeigen,Ne plus montrer de tutoriels,不再显示教程,他のチュートリアルを表示しない,Não mostrar mais tutoriais,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
ADVISOR_POPULATION_TITLE,,Population & economy advisor,Consejero de población y economía,NOT_TRANSLATED,Советник по населению и экономике,Berater für Bevölkerung und Wirtschaft,Conseiller démographique et économique,人口与经济顾问,人口と経済の助言者,Conselheiro de população e economia,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
ADVISOR_ENGINEERING_TITLE,,Engineering advisor,Asesor de ingeniería,NOT_TRANSLATED,Советник по инженерному делу,Ingenieurberater,Conseiller technique,工程顾问,エンジニアリングの助言者,Conselheiro de engenharia,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
ADVISOR_ENTERTAINMENT_TITLE,,Culture & entertainment advisor,Consejero de cultura y entretenimiento,NOT_TRANSLATED,Советник по культуре и развлечениям,Berater für Kultur und Unterhaltung,Conseiller culture et divertissement,文化与娱乐顾问,文化と娯楽の助言者,Conselheiro de cultura e entretenimento,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
ADVISOR_RELIGION_TITLE,,Religious advisor,Asesor religioso,NOT_TRANSLATED,Советник по религии,Religionsberater,Conseiller religieux,宗教顾问,宗教の助言者,Conselheiro religioso,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
ADVISOR_MILITARY_TITLE,,Military advisor,Asesor militar,NOT_TRANSLATED,Советник по военному делу,Militärberater,Conseiller militaire,军事顾问,軍事の助言者,Conselheiro militar,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
ADVISOR_COMMERCE_TITLE,,Trade advisor,Consejero de comercio,NOT_TRANSLATED,Советник по торговле,Handelsberater,Conseiller commercial,贸易顾问,交易の助言者,Conselheiro de comércio,NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
ADVISOR_POPULATION_NAME,,Gaius Titus Cato,Gaius Titus Cato,Gaius Titus Cato,Гай Тит Катон,Gaius Titus Cato,Gaius Titus Cato,Gaius Titus Cato,Gaius Titus Cato,,Gaius Titus Cato,Gaius Titus Cato,Gaius Titus Cato,
ADVISOR_ENGINEERING_NAME,,Maximus Agrippa,Maximus Agrippa,Maximus Agrippa,Максим Агриппа,Maximus Agrippa,Maximus Agrippa,Maximus Agrippa,Maximus Agrippa,,Maximus Agrippa,Maximus Agrippa,Maximus Agrippa,
ADVISOR_ENTERTAINMENT_NAME,,Cornelia,Cornelia,Cornelia,Корнелия,Cornelia,Cornelia,Cornelia,Cornelia,,Cornelia,Cornelia,Cornelia,
ADVISOR_RELIGION_NAME,,Publius Aelius,Publius Aelius,Publius Aelius,Публий Элий,Publius Aelius,Publius Aelius,Publius Aelius,Publius Aelius,,Publius Aelius,Publius Aelius,Publius Aelius,
ADVISOR_MILITARY_NAME,,Marcus Drusus,Marcus Drusus,Marcus Drusus,Марк Друз,Marcus Drusus,Marcus Drusus,Marcus Drusus,Marcus Drusus,,Marcus Drusus,Marcus Drusus,Marcus Drusus,
ADVISOR_COMMERCE_NAME,,Fabia,Fabia,Fabia,Фабия,Fabia,Fabia,Fabia,Fabia,,Fabia,Fabia,Fabia,
TUTORIAL_INTRO0,,"Ave Dominus, I am Gaius Titus Cato, emissary of the Senate to help you manage your settlement. I see you don't have much experience in this work, do you? The first thing you need to learn is how to get around.","Ave Dominus, soy Gaius Titus Cato, emisario del Senado para ayudarte a gestionar tu asentamiento. Veo que no tienes demasiada experiencia en esta labor, ¿verdad? Lo primero que tienes que aprender es cómo desplazarte.",NOT_TRANSLATED,"Аве, распорядитель, я Гай Тит Катон. Сенат прислал меня помочь вам в управлении этим поселением. Полагаю, у вас в этом деле не слишком много опыта, так ведь? Для начала вам стоит здесь освоиться.","Ave Dominus, ich bin Gaius Titus Cato, Abgesandter des Senats, um dir bei der Verwaltung deiner Siedlung zu helfen. Wie ich sehe, hast du nicht viel Erfahrung in diesem Bereich, nicht wahr? Das Erste, was du wissen musst, ist, wie man sich fortbewegt.","Ave Dominus, je suis Gaius Titus Cato, émissaire du Sénat chargé de vous aider à gérer votre colonie. Je vois que vous n'avez pas beaucoup d'expérience dans ce domaine, n'est-ce pas ? La première chose que vous devez apprendre, c'est à vous déplacer.",尊敬的执政官，我是元老院的使者盖乌斯·提图斯·卡托，来帮助您管理您的定居点。我看您在这方面没有太多经验，是吗？首先您需要学习基本的移动。,アヴェ・ドミナヌス、私はガイウス・ティトゥス・カトー、元老院からの使者で、あなたの集落管理を手伝います。この仕事はあまり経験がないようですね？まず学ぶべきは、移動の方法です。,"Ave Dominus, sou Gaius Titus Cato, emissário do Senado para ajudá-lo a gerenciar seu assentamento. Vejo que você não tem muita experiência nesse trabalho, não é? A primeira coisa que você precisa aprender é como se movimentar.",NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_INTRO1,,Start by building the <color=#D1B770><b>Forum</b></color> as it will be the starting point of the city.,Comienza por construir el <color=#D1B770><b>Foro</b></color> ya que será el punto de partida de la ciudad.,NOT_TRANSLATED,"Начните со строительства <color=#D1B770><b>форума</b></color>, он послужит центром всего города.","Beginne mit dem Bau des <color=#D1B770><b>Forums</b></color>, da dies der Ausgangspunkt der Stadt sein wird.",Commencez par construire le <color=#D1B770><b>Forum</b></color> car il sera le point de départ de la ville.,<color=#D1B770><b>广场</b></color>是城市的起点，建造从此开始。,<color=#D1B770><b>フォーラム</b></color>を建設することから始めましょう。そこが都市の出発地点になります。,"Comece construindo o <color=#D1B770><b>Fórum</b></color>, pois será o ponto de partida da cidade.",NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
TUTORIAL_INTRO2,,"Now that we have the backbone of our settlement, we need houses for people to move into.","Ahora que ya tenemos el eje central de nuestro asentamiento, necesitamos viviendas para que se instalen los ciudadanos.",NOT_TRANSLATED,"Теперь, когда мы наметили центр поселения, нужно обеспечить приезжих жильём.","Jetzt, da wir das Rückgrad unserer Siedlung haben, brauchen wir Unterkünfte, in denen sich die Menschen niederlassen können.","Maintenant que nous avons la base de notre colonie, il nous faut des logements pour les habitants.",有了定居点的主心骨，接下来我们需要建造房屋供居民搬入。,これで集落の基盤ができたので、人々が移り住むための住宅が必要です。,"Agora que temos a espinha dorsal do nosso assentamento, precisamos de casas para as pessoas se mudarem.",NOT_TRANSLATED,NOT_TRANSLATED,NOT_TRANSLATED,
